''head'';884218:(1,1.0,[3])
modernist;885790:(1,1.0,[76])
modest;881959:(1,1.0,[10]);883618:(2,1.3,[216, 315]);883893:(4,1.6,[1490, 1608, 2150, 2268]);885480:(1,1.0,[48])
modesti;882645:(1,1.0,[12])
modifi;883818:(1,1.0,[97])
modul;882005:(1,1.0,[156])
moffett;884540:(1,1.0,[33])
moffett';884734:(1,1.0,[38])
mojav;882965:(1,1.0,[222])
mojo;883483:(1,1.0,[64])
mold;882062:(2,1.3,[40, 42]);882882:(1,1.0,[111]);885109:(1,1.0,[13])
moldau;883893:(2,1.3,[1289, 1951])
moll;883359:(1,1.0,[0])
mom;881917:(1,1.0,[4]);882159:(1,1.0,[6]);882458:(1,1.0,[67]);882602:(1,1.0,[2]);883075:(2,1.3,[34, 70]);883645:(1,1.0,[17]);884247:(1,1.0,[19]);884254:(1,1.0,[10]);884745:(2,1.3,[16, 40]);884871:(1,1.0,[12]);884910:(1,1.0,[2]);884924:(1,1.0,[11]);885636:(1,1.0,[5])
mom';882243:(1,1.0,[5]);882941:(1,1.0,[6])
moment;881912:(1,1.0,[11]);881958:(1,1.0,[214]);882103:(1,1.0,[107]);882185:(1,1.0,[13]);882428:(1,1.0,[20]);882517:(1,1.0,[73]);882613:(1,1.0,[29]);882891:(1,1.0,[15]);882932:(1,1.0,[1]);882965:(1,1.0,[272]);883287:(1,1.0,[1]);883333:(2,1.3,[208, 315]);883455:(1,1.0,[112]);883643:(1,1.0,[21]);883664:(1,1.0,[34]);884232:(1,1.0,[53]);884512:(1,1.0,[148]);884557:(1,1.0,[6]);884582:(1,1.0,[2]);884667:(1,1.0,[3]);884709:(1,1.0,[34]);884879:(1,1.0,[8]);885170:(1,1.0,[95]);885267:(1,1.0,[20]);885508:(1,1.0,[0]);885612:(1,1.0,[32]);885647:(1,1.0,[11]);885653:(1,1.0,[21]);885776:(1,1.0,[50]);885972:(1,1.0,[34]);885996:(1,1.0,[10]);886030:(1,1.0,[27])
momentum;883651:(1,1.0,[16]);885512:(1,1.0,[47])
momeri;882415:(1,1.0,[22])
momma;884804:(1,1.0,[19])
mommi;882123:(1,1.0,[30]);882913:(2,1.3,[34, 39])
moms';884213:(1,1.0,[11])
mon;883681:(2,1.3,[7, 19]);883893:(1,1.0,[764])
monday;883409:(1,1.0,[82])
monet;882041:(1,1.0,[4])
money;881905:(1,1.0,[31]);881925:(1,1.0,[5]);881991:(1,1.0,[85]);882115:(1,1.0,[13]);882162:(2,1.3,[1, 34]);882176:(1,1.0,[18]);882195:(1,1.0,[28]);882268:(1,1.0,[15]);882347:(1,1.0,[53]);882653:(1,1.0,[13]);882671:(1,1.0,[13]);882768:(2,1.3,[16, 18]);882885:(1,1.0,[36]);883078:(1,1.0,[40]);883270:(1,1.0,[213]);883288:(1,1.0,[18]);883334:(1,1.0,[30]);883366:(1,1.0,[23]);883374:(1,1.0,[15]);883394:(2,1.3,[20, 27]);883408:(1,1.0,[12]);883414:(1,1.0,[169]);883426:(1,1.0,[15]);883470:(1,1.0,[19]);883538:(1,1.0,[11]);883560:(2,1.3,[116, 161]);883566:(1,1.0,[8]);883625:(1,1.0,[17]);883706:(2,1.3,[14, 20]);883708:(1,1.0,[1]);883720:(1,1.0,[11]);883728:(1,1.0,[10]);883740:(1,1.0,[15]);883862:(1,1.0,[20]);883882:(1,1.0,[1]);883997:(2,1.3,[8, 15]);884558:(1,1.0,[9]);884602:(1,1.0,[12]);884744:(1,1.0,[36]);884955:(1,1.0,[176]);884968:(1,1.0,[31]);884971:(1,1.0,[19]);885051:(1,1.0,[18]);885171:(1,1.0,[157]);885267:(1,1.0,[63]);885370:(1,1.0,[8]);885497:(1,1.0,[12]);885764:(2,1.3,[9, 21]);885827:(1,1.0,[16])
money';884354:(1,1.0,[20])
monica;882789:(1,1.0,[0]);884144:(1,1.0,[7])
monik;882220:(1,1.0,[580]);883409:(2,1.3,[562, 716]);884983:(1,1.0,[13]);885041:(1,1.0,[11])
monke;884287:(2,1.3,[13, 23])
monkey;882098:(1,1.0,[2]);882758:(1,1.0,[37]);883831:(1,1.0,[2]);884416:(2,1.3,[2, 17])
mono;882246:(1,1.0,[1]);882532:(1,1.0,[2]);883116:(1,1.0,[120]);883573:(2,1.3,[1, 8]);884237:(1,1.0,[48])
monochromat;882906:(1,1.0,[11])
monogatari;885502:(1,1.0,[2])
monolith;883236:(1,1.0,[0])
monoton;882420:(1,1.0,[59]);884399:(1,1.0,[15])
monotoni;883347:(1,1.0,[126])
monro;883385:(1,1.0,[15]);885280:(1,1.0,[71])
monster;883135:(1,1.0,[5]);883265:(1,1.0,[0]);884265:(1,1.0,[85]);884307:(1,1.0,[12]);884659:(1,1.0,[1]);884678:(1,1.0,[25]);884827:(1,1.0,[20]);884845:(1,1.0,[0]);884853:(1,1.0,[36]);885030:(1,1.0,[5]);885280:(2,1.3,[38, 132]);885546:(1,1.0,[0]);885694:(3,1.48,[0, 38, 73])
monstercat;883662:(1,1.0,[0])
montagu;885487:(1,1.0,[229])
montgomeri;885472:(1,1.0,[71])
month;882028:(1,1.0,[48]);882563:(1,1.0,[17]);882572:(1,1.0,[4]);882657:(1,1.0,[4]);882874:(1,1.0,[17]);882879:(1,1.0,[5]);882923:(1,1.0,[7]);883032:(1,1.0,[22]);883131:(2,1.3,[49, 79]);883177:(1,1.0,[58]);883349:(1,1.0,[14]);883455:(1,1.0,[47]);883784:(1,1.0,[20]);883850:(1,1.0,[10]);883931:(1,1.0,[7]);883973:(1,1.0,[17]);884174:(1,1.0,[12]);884200:(1,1.0,[58]);884512:(1,1.0,[72]);884766:(1,1.0,[5]);885170:(1,1.0,[35]);885464:(1,1.0,[88]);885521:(1,1.0,[3]);885586:(1,1.0,[52]);885632:(1,1.0,[9]);885750:(1,1.0,[29]);885990:(2,1.3,[24, 39])
montreal;885472:(3,1.48,[1, 28, 91])
monument;885092:(1,1.0,[0])
mood;881944:(1,1.0,[11]);881979:(2,1.3,[10, 26]);882064:(1,1.0,[12]);882122:(1,1.0,[6]);882127:(1,1.0,[8]);882134:(1,1.0,[17]);882145:(1,1.0,[7]);882174:(1,1.0,[41]);882211:(1,1.0,[55]);882356:(1,1.0,[25]);882396:(1,1.0,[0]);882442:(1,1.0,[10]);882490:(1,1.0,[41]);882589:(1,1.0,[7]);882725:(1,1.0,[14]);882846:(1,1.0,[17]);882976:(1,1.0,[16]);883009:(1,1.0,[11]);883052:(1,1.0,[27]);883084:(2,1.3,[6, 10]);883092:(1,1.0,[10]);883194:(2,1.3,[1, 2]);883254:(1,1.0,[30]);883381:(1,1.0,[26]);883388:(1,1.0,[10]);883430:(1,1.0,[16]);883455:(1,1.0,[58]);883469:(1,1.0,[49]);883476:(1,1.0,[30]);883520:(1,1.0,[14]);883782:(1,1.0,[14]);883851:(1,1.0,[104]);883893:(4,1.6,[1309, 1394, 1971, 2054]);883969:(1,1.0,[9]);884256:(2,1.3,[13, 23]);884279:(1,1.0,[13]);884642:(1,1.0,[12]);884759:(1,1.0,[6]);884827:(1,1.0,[3]);884833:(1,1.0,[9]);884895:(2,1.3,[12, 18]);884897:(1,1.0,[16]);884943:(1,1.0,[149]);884948:(1,1.0,[7]);885030:(2,1.3,[11, 18]);885072:(1,1.0,[14]);885157:(1,1.0,[0]);885410:(1,1.0,[453]);885441:(1,1.0,[7]);885580:(1,1.0,[10]);885646:(1,1.0,[13]);885872:(1,1.0,[7]);885905:(1,1.0,[82]);886020:(1,1.0,[4])
moodi;882218:(1,1.0,[6]);883243:(2,1.3,[2, 11])
moola;882132:(1,1.0,[0])
moon;882102:(1,1.0,[10]);882488:(1,1.0,[27]);882645:(1,1.0,[2]);883302:(1,1.0,[0]);883399:(1,1.0,[42]);883999:(1,1.0,[2]);884015:(1,1.0,[0]);884252:(3,1.48,[0, 6, 14]);884503:(1,1.0,[18]);884853:(1,1.0,[0]);885218:(1,1.0,[6]);885472:(1,1.0,[37]);885487:(1,1.0,[289])
moon';882220:(2,1.3,[924, 1460]);884252:(1,1.0,[17])
moonbeam;884603:(2,1.3,[280, 382])
moonhors;884217:(1,1.0,[6])
moonlight;883618:(2,1.3,[26, 107]);883749:(1,1.0,[0]);883893:(2,1.3,[375, 632]);884908:(1,1.0,[11])
moor;882005:(2,1.3,[49, 264]);882758:(1,1.0,[87])
moorish;883026:(1,1.0,[175])
moosica;885285:(1,1.0,[18])
mor;883951:(1,1.0,[21]);885069:(1,1.0,[8])
mora;883893:(1,1.0,[1097]);884087:(2,1.3,[18, 59]);885027:(3,1.48,[8, 129, 136])
moral;882887:(1,1.0,[13]);884784:(1,1.0,[30]);885152:(1,1.0,[260])
moray;883750:(1,1.0,[6])
morbid;882404:(1,1.0,[8]);885588:(1,1.0,[42])
morceaux;883893:(2,1.3,[1522, 2182])
mordecai;884984:(2,1.3,[0, 39])
mordechai;884875:(1,1.0,[9])
morello;882038:(2,1.3,[6, 26]);883951:(2,1.3,[114, 128])
morena;883212:(1,1.0,[1]);885120:(1,1.0,[0])
morgan;882979:(1,1.0,[63]);883420:(2,1.3,[4, 27]);883459:(2,1.3,[4, 33]);883701:(1,1.0,[1]);884853:(1,1.0,[22])
morgan';883420:(1,1.0,[13])
morganfield;883638:(1,1.0,[5])
morillo;882802:(1,1.0,[14])
mormon;882329:(1,1.0,[1]);882585:(1,1.0,[12]);885460:(1,1.0,[10]);885507:(1,1.0,[19])
morn;882035:(1,1.0,[10]);882123:(3,1.48,[1, 17, 45]);882283:(1,1.0,[11]);882444:(1,1.0,[1]);882577:(1,1.0,[8]);882717:(1,1.0,[12]);882863:(3,1.48,[0, 2, 4]);882916:(1,1.0,[10]);882947:(1,1.0,[149]);883156:(1,1.0,[8]);883234:(1,1.0,[3]);883384:(1,1.0,[11]);883392:(1,1.0,[5]);883456:(1,1.0,[11]);883500:(1,1.0,[8]);883687:(1,1.0,[1]);883702:(1,1.0,[40]);883775:(1,1.0,[15]);883893:(2,1.3,[1393, 2053]);884256:(1,1.0,[10]);884376:(1,1.0,[0]);884690:(1,1.0,[5]);885133:(1,1.0,[18]);885138:(1,1.0,[3]);885242:(1,1.0,[3]);885410:(1,1.0,[692]);885804:(1,1.0,[10]);885941:(1,1.0,[15])
moros;885990:(1,1.0,[28])
morphin;882080:(1,1.0,[4])
morphogenesi;884089:(1,1.0,[0])
morri;883560:(1,1.0,[25])
morrison;882640:(1,1.0,[20])
mors;882306:(1,1.0,[79])
morstein;881895:(1,1.0,[3])
morstein';881895:(1,1.0,[32])
mortal;884855:(1,1.0,[0])
mortgag;882168:(1,1.0,[43])
morton';881936:(1,1.0,[23])
mosaiqu;883026:(1,1.0,[5])
moscow;882708:(1,1.0,[34]);884863:(1,1.0,[18])
mosh;882147:(2,1.3,[1, 7])
moskau;882708:(1,1.0,[39])
mosley;882611:(1,1.0,[16]);885066:(1,1.0,[5])
mosquito;885610:(1,1.0,[0])
moss;883851:(1,1.0,[65])
mostli;882175:(1,1.0,[7]);882239:(1,1.0,[2]);882468:(1,1.0,[24]);883086:(1,1.0,[10]);883824:(1,1.0,[10]);883851:(1,1.0,[289]);883985:(1,1.0,[79]);884195:(1,1.0,[4]);884385:(1,1.0,[5]);884414:(1,1.0,[8]);884889:(1,1.0,[247]);885116:(1,1.0,[16]);885344:(1,1.0,[5]);885348:(1,1.0,[19]);885384:(1,1.0,[14]);885410:(1,1.0,[108]);885830:(1,1.0,[12]);885918:(1,1.0,[7]);886035:(1,1.0,[66])
mother;881993:(1,1.0,[7]);882085:(1,1.0,[6]);882220:(4,1.6,[129, 324, 1102, 1637]);882355:(1,1.0,[28]);882694:(1,1.0,[15]);882947:(1,1.0,[26]);883178:(1,1.0,[4]);883189:(1,1.0,[12]);883737:(2,1.3,[6, 26]);883856:(1,1.0,[0]);883858:(1,1.0,[10]);884009:(2,1.3,[17, 20]);884329:(2,1.3,[3, 16]);884537:(1,1.0,[22]);885222:(1,1.0,[16]);885447:(1,1.0,[20]);885811:(1,1.0,[4])
mother';882027:(1,1.0,[3]);884357:(1,1.0,[4]);884936:(1,1.0,[38])
motion;882205:(1,1.0,[22]);882220:(1,1.0,[392]);882300:(1,1.0,[3]);882703:(1,1.0,[5]);883518:(1,1.0,[2]);883696:(1,1.0,[18]);884062:(1,1.0,[3]);884379:(1,1.0,[5]);884450:(1,1.0,[2]);884511:(1,1.0,[3]);884636:(1,1.0,[4]);884747:(1,1.0,[2]);884816:(2,1.3,[2, 10]);884844:(1,1.0,[1]);884855:(1,1.0,[5]);884911:(1,1.0,[4]);884921:(1,1.0,[4]);884956:(1,1.0,[3]);885128:(1,1.0,[4]);885600:(1,1.0,[4]);885615:(1,1.0,[2]);885653:(1,1.0,[6]);885875:(1,1.0,[3])
motionless;885209:(1,1.0,[35])
motiv;883016:(1,1.0,[5]);883049:(1,1.0,[15]);883333:(1,1.0,[35]);883562:(3,1.48,[4, 9, 22]);883588:(1,1.0,[39]);883743:(1,1.0,[12]);883822:(1,1.0,[11]);883946:(1,1.0,[7]);884097:(2,1.3,[2, 10]);884271:(2,1.3,[26, 30]);884522:(1,1.0,[7]);884592:(1,1.0,[13]);885422:(1,1.0,[13])
motivatr;883646:(1,1.0,[11])
moto;883893:(2,1.3,[1339, 2000])
motorcycl;883455:(2,1.3,[144, 171])
motown;883436:(1,1.0,[1]);883571:(2,1.3,[0, 14]);883799:(1,1.0,[7]);884953:(1,1.0,[9])
mount;883124:(1,1.0,[66]);883305:(1,1.0,[23]);883556:(1,1.0,[41]);885086:(1,1.0,[0])
mountain;881970:(1,1.0,[2]);882187:(1,1.0,[12]);882307:(1,1.0,[0]);882488:(1,1.0,[31]);882588:(1,1.0,[7]);882767:(1,1.0,[21]);882947:(1,1.0,[127]);883022:(1,1.0,[2]);883305:(2,1.3,[4, 13]);883405:(1,1.0,[23]);883533:(1,1.0,[2]);883653:(1,1.0,[1]);883888:(1,1.0,[28]);883967:(1,1.0,[2]);884157:(1,1.0,[2]);884570:(1,1.0,[4]);884605:(1,1.0,[3]);884764:(1,1.0,[2]);884866:(1,1.0,[6]);884870:(1,1.0,[2]);885305:(1,1.0,[2]);885431:(1,1.0,[0]);885857:(1,1.0,[1]);885872:(1,1.0,[1]);885957:(1,1.0,[68])
mountaintop;883048:(1,1.0,[27])
mourn;882588:(1,1.0,[23]);883333:(1,1.0,[134]);884029:(1,1.0,[5])
mous;881959:(1,1.0,[11]);885013:(1,1.0,[13])
mouth;883702:(1,1.0,[59]);885170:(1,1.0,[310])
move;881930:(1,1.0,[57]);882005:(1,1.0,[93]);882144:(1,1.0,[10]);882150:(1,1.0,[430]);882300:(1,1.0,[57]);882355:(1,1.0,[51]);882379:(1,1.0,[13]);882409:(1,1.0,[31]);882417:(1,1.0,[1]);882466:(1,1.0,[8]);882488:(1,1.0,[32]);882572:(1,1.0,[0]);882577:(1,1.0,[14]);882910:(2,1.3,[14, 17]);882917:(1,1.0,[12]);883048:(1,1.0,[18]);883075:(1,1.0,[94]);883116:(1,1.0,[42]);883240:(1,1.0,[17]);883270:(1,1.0,[53]);883278:(1,1.0,[8]);883298:(1,1.0,[5]);883341:(1,1.0,[1]);883374:(1,1.0,[28]);883439:(1,1.0,[1]);883455:(2,1.3,[80, 166]);883588:(1,1.0,[40]);883677:(1,1.0,[29]);883743:(1,1.0,[6]);883804:(2,1.3,[10, 25]);883821:(1,1.0,[22]);883854:(1,1.0,[15]);883925:(1,1.0,[6]);883954:(1,1.0,[5]);883971:(1,1.0,[31]);883994:(1,1.0,[16]);884027:(1,1.0,[17]);884064:(1,1.0,[18]);884087:(1,1.0,[45]);884106:(1,1.0,[3]);884139:(1,1.0,[15]);884188:(1,1.0,[2]);884191:(1,1.0,[8]);884193:(1,1.0,[11]);884202:(1,1.0,[15]);884453:(1,1.0,[44]);884573:(1,1.0,[10]);884578:(1,1.0,[33]);884605:(1,1.0,[4]);884611:(1,1.0,[7]);884636:(1,1.0,[12]);884654:(1,1.0,[13]);884753:(1,1.0,[8]);884806:(1,1.0,[7]);884860:(1,1.0,[11]);884892:(1,1.0,[5]);884899:(1,1.0,[10]);884917:(1,1.0,[0]);884960:(1,1.0,[3]);884964:(1,1.0,[4]);885042:(1,1.0,[11]);885049:(2,1.3,[0, 2]);885089:(1,1.0,[17]);885114:(2,1.3,[0, 11]);885217:(1,1.0,[14]);885275:(1,1.0,[12]);885373:(1,1.0,[25]);885394:(1,1.0,[11]);885518:(2,1.3,[3, 22]);885535:(1,1.0,[11]);885563:(1,1.0,[14]);885729:(1,1.0,[3]);885750:(1,1.0,[46]);885781:(1,1.0,[5]);885864:(1,1.0,[13]);885905:(1,1.0,[29]);885952:(1,1.0,[3]);885962:(1,1.0,[12]);885972:(1,1.0,[20]);885978:(1,1.0,[16])
movement;882150:(2,1.3,[244, 468]);882220:(1,1.0,[27]);882258:(1,1.0,[13]);882305:(1,1.0,[40]);882604:(1,1.0,[12]);882633:(1,1.0,[88]);882808:(1,1.0,[11]);883641:(2,1.3,[120, 122]);884216:(1,1.0,[3]);884356:(1,1.0,[11]);884823:(1,1.0,[16]);884889:(1,1.0,[163]);885265:(1,1.0,[11]);885410:(1,1.0,[603])
movew;885410:(1,1.0,[437])
movi;881886:(1,1.0,[51]);881906:(1,1.0,[3]);881918:(1,1.0,[19]);881998:(1,1.0,[15]);882005:(1,1.0,[197]);882069:(1,1.0,[48]);882090:(1,1.0,[4]);882096:(1,1.0,[2]);882145:(1,1.0,[8]);882146:(1,1.0,[2]);882150:(1,1.0,[565]);882205:(2,1.3,[93, 343]);882209:(2,1.3,[24, 34]);882217:(1,1.0,[9]);882274:(1,1.0,[4]);882276:(1,1.0,[18]);882278:(1,1.0,[18]);882334:(3,1.48,[8, 24, 36]);882413:(3,1.48,[1, 4, 11]);882464:(1,1.0,[8]);882517:(1,1.0,[36]);882552:(1,1.0,[12]);882553:(1,1.0,[1]);882561:(2,1.3,[32, 33]);882568:(2,1.3,[1, 19]);882585:(1,1.0,[15]);882610:(1,1.0,[10]);882651:(1,1.0,[35]);882662:(1,1.0,[8]);882675:(2,1.3,[22, 47]);882715:(1,1.0,[174]);882720:(1,1.0,[4]);882737:(1,1.0,[10]);882768:(1,1.0,[5]);882780:(1,1.0,[44]);882955:(1,1.0,[13]);882963:(1,1.0,[7]);883030:(1,1.0,[5]);883082:(1,1.0,[7]);883116:(3,1.48,[1, 23, 91]);883135:(1,1.0,[4]);883191:(2,1.3,[8, 14]);883261:(1,1.0,[7]);883270:(1,1.0,[523]);883298:(1,1.0,[11]);883405:(1,1.0,[8]);883491:(1,1.0,[7]);883502:(2,1.3,[12, 55]);883518:(2,1.3,[5, 22]);883532:(2,1.3,[3, 8]);883605:(1,1.0,[14]);883635:(1,1.0,[9]);883653:(2,1.3,[33, 41]);883717:(1,1.0,[8]);883854:(1,1.0,[8]);883943:(1,1.0,[13]);883975:(1,1.0,[8]);883978:(1,1.0,[10]);883994:(2,1.3,[8, 18]);884027:(1,1.0,[6]);884070:(1,1.0,[18]);884085:(1,1.0,[9]);884331:(1,1.0,[9]);884345:(1,1.0,[20]);884379:(1,1.0,[9]);884382:(1,1.0,[13]);884392:(1,1.0,[15]);884450:(1,1.0,[10]);884453:(3,1.48,[20, 25, 48]);884558:(1,1.0,[1]);884601:(1,1.0,[10]);884630:(1,1.0,[4]);884636:(3,1.48,[9, 29, 53]);884700:(1,1.0,[42]);884706:(2,1.3,[10, 31]);884712:(2,1.3,[7, 16]);884732:(1,1.0,[7]);884747:(1,1.0,[5]);884864:(1,1.0,[1]);884911:(3,1.48,[10, 16, 20]);884933:(2,1.3,[9, 14]);884983:(1,1.0,[47]);885033:(1,1.0,[19]);885149:(3,1.48,[13, 17, 24]);885185:(2,1.3,[6, 19]);885210:(1,1.0,[1]);885283:(1,1.0,[9]);885337:(1,1.0,[8]);885357:(2,1.3,[12, 25]);885532:(1,1.0,[12]);885576:(1,1.0,[1]);885582:(1,1.0,[8]);885600:(1,1.0,[17]);885646:(1,1.0,[3]);885834:(2,1.3,[10, 16]);885835:(1,1.0,[7]);885849:(1,1.0,[10]);885872:(1,1.0,[19]);885875:(1,1.0,[13]);885923:(2,1.3,[5, 21]);885930:(1,1.0,[3]);885941:(1,1.0,[4]);885959:(1,1.0,[23])
movment;882150:(1,1.0,[111])
moyet;882224:(1,1.0,[2])
mozart;882150:(10,2.0,[0, 59, 77, 93, 263, 341, 451, 592, 629, 657]);883590:(1,1.0,[11]);883618:(1,1.0,[190]);883846:(1,1.0,[0]);883893:(2,1.3,[24, 90]);885410:(2,1.3,[141, 293]);885977:(1,1.0,[1])
mozart';882150:(2,1.3,[52, 480]);883277:(1,1.0,[0])
mp;882410:(1,1.0,[2]);882834:(1,1.0,[16]);884028:(1,1.0,[55]);885765:(1,1.0,[14])
mp3;881926:(1,1.0,[72]);882106:(1,1.0,[10]);882244:(1,1.0,[8]);882347:(1,1.0,[28]);882375:(3,1.48,[33, 39, 111]);882376:(1,1.0,[15]);882405:(2,1.3,[2, 19]);882423:(1,1.0,[21]);882429:(1,1.0,[9]);882475:(1,1.0,[5]);882577:(1,1.0,[4]);882590:(1,1.0,[8]);882620:(1,1.0,[30]);882629:(1,1.0,[11]);882653:(2,1.3,[14, 22]);882734:(1,1.0,[14]);882814:(1,1.0,[39]);882864:(1,1.0,[12]);882880:(1,1.0,[15]);882945:(1,1.0,[9]);882947:(2,1.3,[22, 203]);882978:(1,1.0,[34]);882991:(1,1.0,[23]);883003:(1,1.0,[11]);883108:(4,1.6,[47, 76, 92, 102]);883113:(1,1.0,[9]);883116:(1,1.0,[29]);883129:(1,1.0,[41]);883134:(1,1.0,[25]);883157:(1,1.0,[8]);883163:(1,1.0,[18]);883170:(2,1.3,[6, 11]);883199:(2,1.3,[4, 21]);883210:(2,1.3,[5, 22]);883219:(1,1.0,[7]);883283:(1,1.0,[15]);883299:(2,1.3,[51, 101]);883307:(1,1.0,[4]);883311:(1,1.0,[6]);883331:(2,1.3,[5, 22]);883344:(2,1.3,[8, 12]);883372:(2,1.3,[8, 25]);883374:(1,1.0,[38]);883445:(1,1.0,[11]);883476:(2,1.3,[35, 41]);883492:(1,1.0,[41]);883506:(2,1.3,[5, 22]);883540:(1,1.0,[19]);883589:(2,1.3,[6, 25]);883643:(1,1.0,[14]);883683:(1,1.0,[13]);883702:(4,1.6,[14, 24, 47, 91]);883728:(1,1.0,[13]);883746:(1,1.0,[12]);883748:(2,1.3,[14, 18]);883784:(1,1.0,[10]);883798:(1,1.0,[16]);883816:(3,1.48,[27, 34, 83]);883851:(2,1.3,[206, 387]);883871:(1,1.0,[36]);883915:(1,1.0,[8]);883923:(1,1.0,[3]);884001:(1,1.0,[15]);884053:(1,1.0,[13]);884131:(2,1.3,[22, 42]);884190:(1,1.0,[9]);884207:(1,1.0,[6]);884212:(1,1.0,[14]);884241:(1,1.0,[20]);884242:(1,1.0,[28]);884285:(1,1.0,[7]);884311:(1,1.0,[18]);884340:(1,1.0,[6]);884384:(1,1.0,[2]);884386:(1,1.0,[5]);884392:(1,1.0,[7]);884408:(1,1.0,[6]);884488:(1,1.0,[4]);884504:(1,1.0,[8]);884510:(1,1.0,[21]);884525:(1,1.0,[12]);884551:(1,1.0,[19]);884552:(1,1.0,[21]);884574:(1,1.0,[8]);884616:(1,1.0,[8]);884676:(1,1.0,[4]);884701:(1,1.0,[4]);884703:(1,1.0,[5]);884723:(1,1.0,[6]);884843:(1,1.0,[4]);884844:(1,1.0,[5]);884847:(1,1.0,[16]);884889:(1,1.0,[63]);884968:(2,1.3,[32, 69]);885071:(1,1.0,[55]);885087:(1,1.0,[11]);885281:(1,1.0,[16]);885338:(1,1.0,[15]);885366:(1,1.0,[16]);885378:(1,1.0,[12]);885407:(1,1.0,[19]);885480:(1,1.0,[51]);885487:(1,1.0,[2]);885504:(1,1.0,[24]);885560:(1,1.0,[7]);885561:(1,1.0,[18]);885563:(1,1.0,[18]);885629:(3,1.48,[4, 25, 37]);885670:(1,1.0,[53]);885762:(1,1.0,[6]);885789:(1,1.0,[98]);885896:(2,1.3,[9, 41]);885977:(1,1.0,[14])
mp3';882653:(1,1.0,[7]);883176:(1,1.0,[12]);883613:(1,1.0,[7]);883896:(1,1.0,[13]);883917:(1,1.0,[11]);884207:(1,1.0,[13]);884292:(1,1.0,[15]);884340:(1,1.0,[12]);884386:(1,1.0,[12]);884408:(1,1.0,[12]);884488:(1,1.0,[10]);884501:(1,1.0,[4]);884504:(1,1.0,[15]);884701:(1,1.0,[11]);884703:(1,1.0,[12]);884723:(1,1.0,[13]);884844:(1,1.0,[11]);885016:(1,1.0,[5]);885560:(1,1.0,[14]);885977:(1,1.0,[25])
mp4;882629:(1,1.0,[12]);885656:(1,1.0,[12])
mpct;883939:(1,1.0,[1])
mpl;883960:(1,1.0,[9])
mr;881974:(1,1.0,[7]);881996:(1,1.0,[0]);882005:(1,1.0,[59]);882086:(1,1.0,[0]);882220:(3,1.48,[3, 999, 1534]);882286:(1,1.0,[41]);882301:(1,1.0,[9]);882449:(1,1.0,[14]);882538:(1,1.0,[23]);882572:(1,1.0,[11]);882854:(1,1.0,[24]);882888:(1,1.0,[12]);882965:(1,1.0,[436]);883009:(1,1.0,[7]);883075:(1,1.0,[108]);883089:(1,1.0,[7]);883131:(2,1.3,[24, 66]);883257:(1,1.0,[17]);883272:(1,1.0,[2]);883276:(1,1.0,[23]);883385:(1,1.0,[20]);883450:(2,1.3,[3, 6]);883462:(1,1.0,[35]);883571:(1,1.0,[18]);883643:(1,1.0,[30]);883680:(1,1.0,[0]);883696:(1,1.0,[2]);883930:(1,1.0,[1]);884124:(2,1.3,[11, 21]);884239:(1,1.0,[17]);884310:(1,1.0,[0]);884380:(1,1.0,[9]);884672:(1,1.0,[15]);884780:(1,1.0,[2]);884815:(1,1.0,[2]);884825:(1,1.0,[12]);884853:(1,1.0,[41]);884894:(1,1.0,[20]);885038:(1,1.0,[8]);885424:(1,1.0,[1]);885589:(1,1.0,[83]);885715:(1,1.0,[28]);885967:(1,1.0,[0])
mraz;884480:(1,1.0,[33]);884494:(1,1.0,[24])
ms;881982:(1,1.0,[35]);881987:(1,1.0,[8]);882162:(1,1.0,[18]);882536:(1,1.0,[5]);882720:(1,1.0,[27]);882971:(1,1.0,[14]);883059:(2,1.3,[8, 22]);883270:(1,1.0,[313]);884097:(1,1.0,[4]);884483:(2,1.3,[9, 32]);885396:(1,1.0,[9]);885424:(1,1.0,[3]);885514:(1,1.0,[32])
mtc;885479:(1,1.0,[11])
mtv;881991:(1,1.0,[38]);884512:(2,1.3,[21, 23])
mu;882190:(1,1.0,[2])
